"id,objective,theta[0],theta[1]"	
	"0.0,60.037195836799995,0.285,0.22820000000000001,"
	"1.0,49.717904170916476,0.5404656,0.43612352,"
	"2.0,41.31588630331737,0.76931582016,0.625749068672,"
	"3.0,34.4724914847813,0.974182251864576,0.7988605381256192,"
	"4.0,28.896198058772363,1.1574373516327796,0.9570663599595345,"
	"5.0,24.350048211499445,1.3212199499001847,1.1018167756884307,"
	"6.0,20.641434700182373,1.4674582488282577,1.234419407157564,"
	"7.0,17.613799313333203,1.597890556309662,1.3560532942862418,"
	"8.0,15.139885222690125,1.7140839790079634,1.4677815510092167,"
	"9.0,13.116252367445648,1.817451275335019,1.5705627754341467,"
	"10.0,11.458819454826852,1.9092660494933333,1.665261336844273,"
	"11.0,10.099240413715407,1.9906764498813405,1.7526566501044214,"
	"12.0,8.981959107362798,2.062717519085261,1.8334515371456042,"
	"13.0,8.061815347832644,2.1263223281891777,1.9082797653919232,"
	"14.0,7.302099018839966,2.1823320150694743,1.9777128441477116,"
	"15.0,6.6729684295129355,2.231504834560407,2.042266151987817,"
	"16.0,6.150164721892464,2.2745243177576904,2.1024044610039234,"
	"17.0,5.7139669164749325,2.312006628152487,2.1585469172775578,"
	"18.0,5.348342552881913,2.3445071936561557,2.21107153110625,"
	"19.0,5.040257313929612,2.3725266857937624,2.260319225240424,"
	"20.0,4.779113874399144,2.3965164103281014,2.306597484638335,"
	"21.0,4.5562957860789775,2.416883167250324,2.350183646963719,"
	"22.0,4.364796738270687,2.433993632370325,2.391327869189726,"
	"23.0,4.198919213083808,2.448178307598434,2.4302558021916663,"
	"24.0,4.0540295461278015,2.4597350823744932,2.4671710020727553,"
	"25.0,3.926358834579456,2.468932444521223,2.5022571041375783,"
	"26.0,3.8128411108676676,2.476012375030959,2.535679782877079,"
	"27.0,3.7109818065613585,2.481192957897955,2.5675885190290533,"
	"28.0,3.6187508367129366,2.4846707330458777,2.5981181927046815,"
	"29.0,3.5344956961799308,2.4866228176390694,2.6273905197023044,"
	"30.0,3.456870822067763,2.4872088185768377,2.6555153464442998,"
	"31.0,3.384780177590688,2.4865725567257986,2.6825918174535,"
	"32.0,3.3173305825590336,2.4848436214219456,2.708709427915709,"
	"33.0,3.2537937789353504,2.4821387719499497,2.7339489726398556,"
	"34.0,3.1935755964277504,2.4785632010625793,2.758383401613867,"
	"35.0,3.136190889135838,2.4742116741204163,2.7820785913504937,"
	"36.0,3.08124316302544,2.4691695560952662,2.8050940403122784,"
	"37.0,3.0284080162059204,2.463513737475482,2.8274834958889103,"
	"38.0,2.9774196783336553,2.457313469024864,2.849295519664584,"
	"39.0,2.9280600690520373,2.450631114367211,2.870573997049749,"
	"40.0,2.8801499039600844,2.4435228284854165,2.891358596753715,"
	"41.0,2.8335414648590382,2.436039169427781,2.9116851850354926,"
	"42.0,2.7881127227635814,2.428225649796346,2.931586199184234,"
	"43.0,2.7437625604735465,2.4201232339448637,2.951090984242481,"
	"44.0,2.7004068888970267,2.4117687862305393,2.9702260965903706,"
	"45.0,2.657975489839175,2.403195475137606,2.9890155776527987,"
	"46.0,2.6164094492836725,2.3944331376165557,3.0074812006704574,"
	"47.0,2.575659070645288,2.3855086075552374,3.0256426931861573,"
	"48.0,2.535682178159421,2.3764460119125523,3.043517937636861,"
	"49.0,2.4964427373896254,2.3672670376979257,3.061123152206552,"
	"50.0,2.457909733501828,2.3579911726663956,3.0784730538829206,"
	"51.0,2.4200562590632555,2.348635922316665,3.095581005469594,"
	"52.0,2.382858772153975,2.3392170055247754,3.1124591481332007,"
	"53.0,2.3462964929186128,2.3297485309164467,3.1291185209091115,"
	"54.0,2.310350912651632,2.320243155874113,3.145569168449529,"
	"55.0,2.2750053943586694,2.3107122298880447,3.1618202381712535,"
	"56.0,2.2402448476778956,2.301165923792689,3.1778800678465218,"
	"57.0,2.2060554642490597,2.291613346277647,3.1937562645776154,"
	"58.0,2.17242450222191,2.282062648925952,3.209455776003329,"
	"59.0,2.139340110712282,2.2725211209089955,3.2249849545019176,"
	"60.0,2.1067911867345543,2.2629952743562853,3.24034961507987,"
	"61.0,2.0747672585375807,2.253490921317991,3.2555550875679984,"
	"62.0,2.043258390407808,2.244013243147876,3.270606263685168,"
	"63.0,2.01225510492723,2.2345668530527476,3.285507639474817,"
	"64.0,1.981748319424706,2.225155852481113,3.300263353569718,"
	"65.0,1.9517292939696191,2.2157838819575066,3.3148772216955735,"
	"66.0,1.9221895887529634,2.206454166909267,3.3293527677836394,"
	"67.0,1.893121029104198,2.1971695589787057,3.3436932520261258,"
	"68.0,1.8645156767200428,2.187932573265099,3.357901696175269,"
	"69.0,1.8363658059477714,2.178745421897181,3.371980906357355,"
	"70.0,1.8086638841821592,2.1696100442973694,3.3859334936462657,"
	"71.0,1.7814025556112407,2.1605281344634104,3.399761892617052,"
	"72.0,1.7545746276891419,2.1515011655610556,3.413468378078328,"
	"73.0,1.7281730598305192,2.142530412092492,3.4270550801627127,"
	"74.0,1.7021909539156967,2.1336169698791836,3.4405239979369053,"
	"75.0,1.676621546272431,2.124761774074291,3.453877011677076,"
	"76.0,1.651458200862634,2.1159656153986535,3.4671158939409104,"
	"77.0,1.6266944034532678,2.1072291547752293,3.480242319554718,"
	"78.0,1.6023237565917474,2.098552936519665,3.4932578746223664,"
	"79.0,1.578339975239859,2.0899374002291493,3.5061640646522862,"
	"80.0,1.5547368829473727,2.081382891497713,3.518962321889319,"
	"81.0,1.5315084084687505,2.0728896715735217,3.5316540119296436,"
	"82.0,1.5086485827443457,2.06445792606233,3.544240439689317,"
	"83.0,1.4861515361821156,2.0560877727710154,3.556722854790008,"
	"84.0,1.4640114961878106,2.047779268775864,3.569102456419269,"
	"85.0,1.4422227849012546,2.0395324167919444,3.5813803977170213,"
	"86.0,1.4207798171042014,2.0313471709123934,3.5935577897348603,"
	"87.0,1.3996770982716606,2.0232234417796615,3.605635705010191,"
	"88.0,1.3789092227437645,2.015161101244657,3.617615180793074,"
	"89.0,1.3584708719994953,2.007159986564222,3.6294972219599306,"
	"90.0,1.338356813017017,1.9992199041824095,3.641282803644892,"
	"91.0,1.3185618967081587,1.9913406331365553,3.6529728736165565,"
	"92.0,1.2990810564168467,1.983521928125101,3.6645683544251786,"
	"93.0,1.2799093064731695,1.9757635222704866,3.6760701453428477,"
	"94.0,1.2610417407962315,1.968065129607153,3.6874791241170075,"
	"95.0,1.2424735315401736,1.9604264473217379,3.698796148555648,"
	"96.0,1.2241999277787636,1.952847157769879,3.7100220579607095,"
	"97.0,1.2062162542247288,1.9453269302916376,3.721157674424605,"
	"98.0,1.1885179099806937,1.9378654228453895,3.7322038040033005,"
	"99.0,1.1711003673191,1.9304622834780736,3.743161237778074,"
id,objective,theta[0],theta[1]
0.0,62.136811357599996,0.285,0.1722,
1.0,53.41393991730354,0.5438508,0.32849184,
2.0,46.220976980468365,0.7789555377599999,0.47033867884799996,
3.0,40.28958815631964,0.992496457678272,0.5990691708224256,
4.0,35.39850294396513,1.1864552154911856,0.7158898295430323,
5.0,31.36526006886038,1.3626313165432535,0.8218962553763381,
6.0,28.039400627172608,1.5226588591916776,0.9180833308044372,
7.0,25.296855103075625,1.6680217391393004,1.0053544786231512,
8.0,23.03531486235343,1.800067456169116,1.084530069115297,
9.0,21.170415452333437,1.920019651749127,1.156355054426227,
10.0,19.63258932322783,2.028989494167344,1.2215059011780782,
11.0,18.36447055924055,2.127986017133219,1.2805968858294128,
12.0,17.318754800944838,2.217925508044035,1.334185811357412,
13.0,16.456434521695627,2.2996400332720857,1.3827791984553037,
14.0,15.745343823711185,2.373885179798649,1.4268369995481747,
15.0,15.158958466326883,2.441347085229009,1.4667768794902432,
16.0,14.675406360555868,2.50264882160133,1.5029781027747189,
17.0,14.276651615698368,2.558356192389347,1.5357850634260601,
18.0,13.947821698233538,2.6089829966387543,1.5655104904196688,
19.0,13.676652602141196,2.6549958092189336,1.5924383584549084,
20.0,13.453031332307711,2.6968183216692316,1.6168265311657057,
21.0,13.268618633009284,2.73483528403042,1.6389091613633782,
22.0,13.116537887070422,2.769396084339209,1.6588988706455643,
23.0,12.991118579842581,2.800817999092224,1.6769887286521783,
24.0,12.887684757730957,2.82938914492429,1.6933540503850668,
25.0,12.80238058955311,2.855371158965727,1.7081540283151622,
26.0,12.732026523162851,2.87900163281878,1.7215332144636586,
27.0,12.674000671152658,2.900496322800774,1.7336228662477744,
28.0,12.626141000637865,2.9200511570198,1.7445421686140195,
29.0,12.586664678238193,2.937844057958309,1.7543993438307668,
30.0,12.554101561359971,2.9540365975233196,1.7632926592666185,
31.0,12.527239354620804,2.968775499963089,1.7713113425318339,
32.0,12.505078385435842,2.982194006634527,1.7785364124981184,
33.0,12.486794311634556,2.9944131153201776,1.7850414339293372,
34.0,12.471707369887856,3.005542705626309,1.7908932027449285,
35.0,12.459257017734918,3.01568256093365,1.7961523682923477,
36.0,12.44898102321177,3.0249232964097703,1.8008739984187472,
37.0,12.440498222004551,3.0333472017180116,1.8051080925998606,
38.0,12.433494298870539,3.041029006264156,1.8089000479007367,
39.0,12.427710062892306,3.0480365741012383,1.812291082104083,
40.0,12.422931779164879,3.054431534958405,1.8153186179434244,
41.0,12.41898319623266,3.0602698572653533,1.8180166320163775,
42.0,12.415718971853867,3.065602368504189,1.8204159716246877,
43.0,12.413019251836175,3.070475227730407,1.822544642489247,
44.0,12.410785199703188,3.074930354659666,1.824428070017305,
45.0,12.4089353104231,3.079005819312866,1.8260893365529893,
46.0,12.407402370680675,3.0827361958450576,1.8275493968187881,
47.0,12.406130952293669,3.0861528838504273,1.8288272735527098,
48.0,12.405075345264034,3.0892844001329998,1.8299402351615655,
49.0,12.404197853355225,3.0921566436578733,1.8309039570434782,
50.0,12.403467388611176,3.094793136148257,1.8317326680807686,
51.0,12.402858312384831,3.097215240566971,1.832439283666382,
52.0,12.40234947964023,3.0994423595152933,1.8330355265017138,
53.0,12.401923450875547,3.101492115395161,1.833532036289907,
54.0,12.401565842267567,3.103380514011063,1.8339384693453722,
55.0,12.401264789794606,3.1051220931338555,1.8342635890464456,
56.0,12.401010507346914,3.1067300574088135,1.8345153479729033,
57.0,12.40079492233996,3.108216400863172,1.8347009624926747,
58.0,12.400611375237006,3.109592018153014,1.8348269804918407,
59.0,12.400454371771954,3.1108668055845965,1.8348993428782,
60.0,12.400319378629177,3.1120497528500595,1.8349234394307494,
61.0,12.400202654958283,3.1131490263310484,1.8349041595148188,
62.0,12.40010111343874,3.1141720447453416,1.834845938134815,
63.0,12.400012205711493,3.1151255478403144,1.8347527977531608,
64.0,12.39993382790384,3.1160156587723784,1.8346283862646058,
65.0,12.399864242723368,3.1168479407527863,1.834476011479321,
66.0,12.399802015214885,3.117627448486836,1.834298672435699,
67.0,12.399745959783974,3.1183587748850723,1.834099087834282,
68.0,12.399695096511152,3.119046093481083,1.833879721857455,
69.0,12.399648615127074,3.119693196950539,1.8336428076152114,
70.0,12.399605845305198,3.1203035320898533,1.833390368435213,
71.0,12.39956623216386,3.120880231579896,1.8331242371953034,
72.0,12.399529316064049,3.121426142830272,1.8328460738784211,
73.0,12.399494715949572,3.12194385417253,1.8325573815133192,
74.0,12.399462115608195,3.1224357186459732,1.8322595206494712,
75.0,12.399431252341582,3.122903875597374,1.8319537225009135,
76.0,12.399401907621474,3.123350270295525,1.831641100881378,
77.0,12.399373899383818,3.1237766717431086,1.8313226630418298,
78.0,12.399347075673537,3.124184688851585,1.830999319511306,
79.0,12.39932130940311,3.1245757851295672,1.830671893032678,
80.0,12.399296494029592,3.124951292021321,1.8303411266765417,
81.0,12.399272539989006,3.125312421019473,1.8300076912087835,
82.0,12.399249371755339,3.1256602746645936,1.8296721917804344,
83.0,12.399226925414522,3.1259958565339763,1.8293351740021107,
84.0,12.399205146663162,3.1263200803125217,1.8289971294596183,
85.0,12.399183989157503,3.126633778030099,1.8286585007220921,
86.0,12.39916341315124,3.126937707541997,1.828319685889324,
87.0,12.399143384371488,3.1272325593220414,1.8279810427206422,
88.0,12.399123873091199,3.127518962631555,1.8276428923838117,
89.0,12.39910485336356,3.127797491121529,1.8273055228588868,
90.0,12.399086302390018,3.128068667920102,1.8269691920287403,
91.0,12.399068199998405,3.1283329702526603,1.826634130485074,
92.0,12.399050528212019,3.1285908336375114,1.8263005440760678,
93.0,12.3990332708936,3.1288426556961473,1.8259686162194224,
94.0,12.399016413451134,3.129088799613518,1.825638510002364,
95.0,12.398999942594617,3.1293295972804867,1.8253103700881999,
96.0,12.398983846134927,3.129565352147677,1.8249843244472093,
97.0,12.398968112817332,3.12979634181724,1.8246604859280244,
98.0,12.398952732183664,3.1300228203966243,1.8243389536841645,
99.0,12.398937694458088,3.1302450206362304,1.8240198144690454,

